Name,Job_Title,Industry,AI_Replacement_Risk,Salary,Years_of_Experience,City,AI_Tool_Threat
Leslie Hobbs,Software Engineer,Tech,1,184779,34,Boston,Claude
Sarah Miller,Marketing Manager,Media & Marketing,4,116229,14,San Francisco,Scribe AI
Michelle Brandt,HR Manager,Human Resources,1,178448,15,Remote,Writer.com
Kimberly Gonzalez,Copywriter,Media & Marketing,2,83134,11,New York,ChatGPT
Steven Franco,Marketing Manager,Media & Marketing,2,141279,28,San Francisco,Scribe AI
Kelly Fitzgerald,HR Manager,Human Resources,3,129320,20,Boston,Writer.com
Cody Shaw,Nurse,Healthcare,5,69557,16,Remote,Claude
Randy Bartlett,Software Engineer,Tech,2,186972,28,San Francisco,Claude
Robert Cruz,Radiologist,Healthcare,2,83201,3,Boston,Claude
April Ramirez,Software Engineer,Tech,1,82656,28,Chicago,ChatGPT
Amy Ruiz,Data Analyst,Tech,3,184821,8,Austin,Claude
Sandra Hubbard,Customer Support Agent,Tech,2,72566,23,Seattle,Perplexity AI
Andrea Davis,Lawyer,Legal,2,146110,9,Seattle,Claude
Howard Ballard,Paralegal,Legal,2,152604,33,San Francisco,Harvey
Kristin Spencer,Lawyer,Legal,4,50938,4,Boston,Claude
Mark Cox,Paralegal,Legal,1,122016,3,New York,Claude
Anthony Spence,Paralegal,Legal,3,66393,10,Remote,Harvey
Robert Nash,Paralegal,Legal,3,125286,14,Remote,Harvey
Emily Jones,HR Manager,Human Resources,5,158228,17,San Francisco,Scribe AI
Robert Collier,Paralegal,Legal,3,54925,11,Boston,Claude
Eric Swanson,Software Engineer,Tech,4,55568,26,Austin,Github Copilot
Brian Carter DDS,Nurse,Healthcare,1,45238,4,Boston,Claude
Teresa Nixon,Customer Support Agent,Healthcare,3,47672,21,Chicago,Perplexity AI
Michelle Daniel,Radiologist,Healthcare,3,146907,27,Boston,Claude
Danielle Vaughn,Copywriter,Tech,2,54716,30,Austin,Writer.com
Michael Taylor,HR Manager,Human Resources,3,105067,1,Seattle,Writer.com
Rebecca Mccullough,Radiologist,Healthcare,2,176170,10,Austin,Claude
Derrick Valencia,Copywriter,Media & Marketing,4,114053,14,Austin,Writer.com
Adrian Zimmerman,Copywriter,Tech,3,63621,30,San Francisco,Writer.com
Monica Mendez,Paralegal,Legal,5,83526,27,Chicago,Harvey
Steven Palmer,Software Engineer,Tech,3,68197,35,New York,ChatGPT
Mark Henderson,Data Analyst,Tech,1,103894,2,Remote,Github Copilot
April Humphrey,Paralegal,Legal,5,194940,21,Boston,Claude
Cynthia Ramirez,Paralegal,Legal,4,114338,17,Austin,DoNotPay
Kelly Humphrey,Doctor,Healthcare,4,192610,9,Boston,MedpaLM
Bryan Ferguson,Customer Support Agent,Media & Marketing,5,181327,6,Austin,None
Susan Bryant,Software Engineer,Tech,1,178741,35,Remote,Claude
Lori Jackson,Doctor,Healthcare,3,198837,0,Seattle,MedpaLM
Ann Phillips,Customer Support Agent,Tech,5,77550,19,Chicago,ChatGPT
Tanner Williams,Nurse,Healthcare,5,70076,19,Chicago,MedpaLM
Stephanie Smith,Paralegal,Legal,1,130407,21,Chicago,Harvey
Andrea Hamilton,Teacher,Education,5,162119,29,Chicago,Google Gemini
Martha Beasley,Lawyer,Legal,4,117569,2,Boston,Harvey
William Cook,Software Engineer,Tech,5,72053,11,Seattle,Claude
Michael Kelly,Technical Recruiter,Finance,2,74244,10,Remote,ChatGPT
Joshua Smith,Copywriter,Tech,1,138950,1,Seattle,Writer.com
Marie Howard,Nurse,Healthcare,4,187387,20,San Francisco,Claude
Edgar Le,Radiologist,Healthcare,2,62074,1,San Francisco,Claude
Kevin Carter,Data Analyst,Tech,3,99986,18,Boston,Claude
Veronica Fields,Paralegal,Legal,5,93416,26,Boston,Claude
Anita Jackson,Software Engineer,Tech,5,113252,21,San Francisco,Claude
Bruce Shaw,Teacher,Education,3,144801,20,Remote,Claude
Theresa Davis,Customer Support Agent,Media & Marketing,1,146101,20,Boston,Perplexity AI
Steve Dillon,Financial Analyst,Finance,2,102035,32,San Francisco,ChatGPT
Kelly Carter,Customer Support Agent,Finance,4,118883,2,Austin,Perplexity AI
Tammy Richardson,Data Analyst,Healthcare,4,169807,31,San Francisco,Claude
Carol Mcdowell,Teacher,Education,5,149851,0,Remote,ChatGPT
Rhonda Tran,Financial Analyst,Finance,3,140591,14,Chicago,ChatGPT
Jeffery Morrison,Data Analyst,Healthcare,2,194172,32,Austin,ChatGPT
Briana Adams,Doctor,Healthcare,5,84866,11,Austin,Claude
Raymond Davidson,Financial Analyst,Healthcare,1,87917,23,Seattle,Perplexity AI
Pedro Hernandez,Financial Analyst,Finance,3,53284,30,Austin,Perplexity AI
Michael Johnson,Software Engineer,Tech,4,82301,21,Chicago,Github Copilot
Kristina Young,Data Analyst,Media & Marketing,1,92441,30,Chicago,Claude
Timothy Willis,Lawyer,Legal,3,108346,34,Boston,DoNotPay
Ethan Miller,Lawyer,Legal,2,193167,11,San Francisco,DoNotPay
Harold Foster,Copywriter,Tech,4,195560,3,Seattle,ChatGPT
Dawn Anderson,Teacher,Education,4,90366,20,Boston,Google Gemini
Patrick Leblanc,Financial Analyst,Healthcare,2,123556,8,Boston,Perplexity AI
Jessica Rogers,Paralegal,Legal,3,177158,6,New York,Claude
Ryan Howard,Data Analyst,Finance,2,185237,0,San Francisco,ChatGPT
Keith Howard,Technical Recruiter,Healthcare,2,185370,20,New York,None
Roberta Crawford,Customer Support Agent,Healthcare,3,97501,2,Seattle,None
Lisa Dennis,Data Analyst,Media & Marketing,4,185612,17,San Francisco,ChatGPT
Laura Mckay,Technical Recruiter,Finance,4,94891,9,Seattle,Scribe AI
Cole Esparza,Radiologist,Healthcare,5,197336,23,New York,Claude
Cassandra Vazquez,Copywriter,Media & Marketing,1,198153,16,Boston,Writer.com
Justin Olsen,Nurse,Healthcare,2,83741,18,Chicago,MedpaLM
Brian Flores,Technical Recruiter,Tech,5,83281,16,New York,None
Mark Atkins,Paralegal,Legal,1,96446,5,New York,DoNotPay
Terri Bradley,Customer Support Agent,Finance,3,91271,23,Chicago,Perplexity AI
Adrian Mcdaniel,Nurse,Healthcare,4,199548,19,New York,MedpaLM
Haley Barber,Paralegal,Legal,3,129851,32,New York,DoNotPay
Sherry Brown,Software Engineer,Tech,5,69923,23,Remote,Claude
Alice Barrett,HR Manager,Human Resources,4,178883,21,Remote,ChatGPT
Jennifer Rodriguez,Lawyer,Legal,5,48546,5,Seattle,Claude
Victor Burnett,Teacher,Education,3,76265,35,San Francisco,ChatGPT
Amanda David,Customer Support Agent,Media & Marketing,5,111368,17,Austin,None
Devon Coleman,Radiologist,Healthcare,2,135161,1,Seattle,MedpaLM
John Wong,Doctor,Healthcare,3,89395,2,Boston,MedpaLM
Lisa Sandoval,Customer Support Agent,Media & Marketing,1,41374,4,Chicago,Perplexity AI
Mrs. Anne Harris,Doctor,Healthcare,3,160195,34,Seattle,MedpaLM
Glenn Cook,Financial Analyst,Healthcare,4,113501,20,San Francisco,ChatGPT
Kristopher Shaw,Software Engineer,Tech,2,99760,29,Boston,ChatGPT
Brian Michael,Data Analyst,Tech,2,51893,1,Austin,Claude
John Cruz,Customer Support Agent,Healthcare,4,124071,21,Boston,None
Benjamin Ward,Marketing Manager,Media & Marketing,3,128463,14,Austin,Scribe AI
Vincent Harrell,Technical Recruiter,Media & Marketing,5,90677,21,Remote,Scribe AI
Jeffery Collins,Technical Recruiter,Finance,4,95188,29,New York,ChatGPT
Robin Moran,Software Engineer,Tech,1,76449,31,Austin,ChatGPT
Jared Love,Financial Analyst,Healthcare,5,175678,13,Chicago,ChatGPT
Samantha Carter,Lawyer,Legal,5,120104,9,Chicago,Harvey
Daniel Gonzalez,HR Manager,Human Resources,1,102091,9,New York,Scribe AI
Erik Gonzalez,Radiologist,Healthcare,1,100647,10,San Francisco,MedpaLM
Angela Oliver,Copywriter,Media & Marketing,3,49018,21,San Francisco,Writer.com
Brian Carey,Doctor,Healthcare,4,158585,10,Austin,MedpaLM
Charles Wilson,Teacher,Education,5,53838,23,Chicago,Claude
Emily White,Copywriter,Media & Marketing,3,179613,35,Remote,ChatGPT
Mary Garcia,Nurse,Healthcare,5,193950,15,Boston,MedpaLM
Wendy Hernandez,Technical Recruiter,Finance,5,139951,16,Boston,Scribe AI
Megan Ramirez,Paralegal,Legal,5,171463,12,New York,Claude
Elizabeth Burton,Doctor,Healthcare,4,184631,22,Austin,Claude
Patricia Dixon,Data Analyst,Tech,5,174892,12,Remote,Claude
Stephen Moody,Lawyer,Legal,1,49414,25,Austin,Claude
Adam Wagner,Technical Recruiter,Media & Marketing,3,42082,32,San Francisco,Scribe AI
Richard Lopez,Teacher,Education,1,122760,10,Seattle,Claude
Jacob Carney,Marketing Manager,Media & Marketing,4,55863,23,Remote,ChatGPT
Tiffany Hess,Technical Recruiter,Human Resources,2,112847,15,New York,ChatGPT
Stacey Austin,Radiologist,Healthcare,3,164363,6,Remote,Claude
Julie Shaffer,Financial Analyst,Healthcare,3,190653,13,Seattle,ChatGPT
Carrie Marsh DDS,Data Analyst,Finance,2,107929,19,San Francisco,Github Copilot
Jessica Jones,Data Analyst,Media & Marketing,2,183480,14,Seattle,Claude
Kevin Burns,Data Analyst,Tech,2,111456,4,Austin,ChatGPT
Tracy Sims,Financial Analyst,Finance,3,71870,2,New York,ChatGPT
George Miller,Customer Support Agent,Finance,5,198508,1,Seattle,ChatGPT
Cheyenne Clark,Financial Analyst,Finance,5,70024,8,San Francisco,ChatGPT
Alejandro Woods,Copywriter,Media & Marketing,2,147275,27,New York,Writer.com
Alan Castillo,Paralegal,Legal,4,163519,18,Seattle,DoNotPay
Laurie Walsh,Software Engineer,Tech,4,120740,3,San Francisco,Github Copilot
Eric Rosales,HR Manager,Human Resources,4,122881,20,Chicago,Scribe AI
Jacob Taylor,Technical Recruiter,Tech,1,62412,16,New York,ChatGPT
Bryan Fox,Software Engineer,Tech,2,173455,24,Seattle,Claude
Gloria Barrett,Financial Analyst,Healthcare,1,167314,1,Chicago,Perplexity AI
Joseph Oconnor,Marketing Manager,Media & Marketing,5,150125,5,Chicago,Writer.com
Dana Richardson,Customer Support Agent,Healthcare,3,162667,14,San Francisco,Perplexity AI
James Gonzalez,Paralegal,Legal,3,45494,16,Austin,Claude
Cassandra Williams,Data Analyst,Healthcare,5,103069,12,Chicago,ChatGPT
Ronald Rodriguez,Marketing Manager,Media & Marketing,1,59119,22,San Francisco,Scribe AI
Theresa Colon,Doctor,Healthcare,2,55456,34,San Francisco,MedpaLM
William Eaton,Teacher,Education,3,40278,27,Boston,Claude
Alicia Hall,Customer Support Agent,Finance,4,151079,29,Boston,None
Jorge Mcdaniel,Financial Analyst,Finance,3,82316,10,Remote,Perplexity AI
Jason Jackson,Nurse,Healthcare,4,129695,3,San Francisco,MedpaLM
Alexandra Bryant,Data Analyst,Healthcare,2,46472,30,Seattle,ChatGPT
Christopher Vang,Nurse,Healthcare,5,60151,4,San Francisco,MedpaLM
Jessica Dixon,Nurse,Healthcare,4,60072,15,Seattle,Claude
Danny Mclean,Lawyer,Legal,3,187655,34,Boston,DoNotPay
Alan Sweeney,Teacher,Education,3,75482,24,Austin,Google Gemini
Jesse Figueroa,Doctor,Healthcare,4,40218,3,San Francisco,MedpaLM
Thomas Davis,Paralegal,Legal,2,194163,30,Austin,DoNotPay
Joseph Reyes,Lawyer,Legal,3,107850,11,Chicago,Harvey
Paige Moore,Technical Recruiter,Human Resources,1,52131,26,New York,Scribe AI
Mark Mooney,Radiologist,Healthcare,5,180834,8,Seattle,MedpaLM
Valerie Wells,Customer Support Agent,Healthcare,2,146132,11,Boston,Perplexity AI
Megan Smith,Software Engineer,Tech,2,140088,11,New York,Github Copilot
Joseph Jones,Financial Analyst,Finance,2,168426,27,New York,None
Heather Williams,Technical Recruiter,Finance,5,58273,1,New York,Scribe AI
Charles Hernandez,HR Manager,Human Resources,2,143751,3,Boston,Scribe AI
Kenneth Booth,Lawyer,Legal,3,155317,23,Austin,Harvey
Christine Matthews,Doctor,Healthcare,3,56641,3,Boston,MedpaLM
Joseph Howard,Copywriter,Tech,1,133668,0,New York,ChatGPT
Julia Vasquez,Nurse,Healthcare,1,155154,24,San Francisco,Claude
Lauren Davenport,Data Analyst,Tech,5,193718,10,San Francisco,Github Copilot
Omar Jimenez,Teacher,Education,2,199675,23,New York,Google Gemini
Samantha Barnett,Lawyer,Legal,2,52839,7,Chicago,Harvey
Jennifer James,Data Analyst,Healthcare,3,87984,10,Seattle,Github Copilot
Andrew Norris,Teacher,Education,3,135882,24,Seattle,Google Gemini
Jeffrey Jackson,HR Manager,Human Resources,2,106439,17,San Francisco,ChatGPT
Andrew Harris,Financial Analyst,Finance,3,127361,29,San Francisco,ChatGPT
Guy Huffman,HR Manager,Human Resources,5,78378,18,Seattle,Scribe AI
Erin Swanson,Financial Analyst,Finance,5,66409,10,Seattle,None
Mary Price,Technical Recruiter,Finance,2,52229,32,Boston,ChatGPT
Jesus Price,Customer Support Agent,Tech,2,46434,4,San Francisco,Perplexity AI
Carol Becker,Teacher,Education,5,53725,9,Remote,ChatGPT
David Perez,HR Manager,Human Resources,1,137646,33,Austin,Scribe AI
Tammy Perez,Radiologist,Healthcare,5,160195,12,New York,Claude
Lisa Pacheco,Doctor,Healthcare,4,131435,35,Remote,Claude
Samantha Moyer,Software Engineer,Tech,4,68209,6,New York,ChatGPT
Cody Blankenship,Financial Analyst,Healthcare,5,190626,25,San Francisco,ChatGPT
Kevin Hunt,Customer Support Agent,Healthcare,2,134950,35,San Francisco,Perplexity AI
Jennifer Fisher,Copywriter,Media & Marketing,2,69135,14,Chicago,ChatGPT
Amanda Greene,Radiologist,Healthcare,3,96850,8,New York,MedpaLM
Karen Mccall,Lawyer,Legal,1,141270,10,Seattle,DoNotPay
Jesse Moore,Paralegal,Legal,2,132245,16,Chicago,Harvey
Sarah Matthews,Radiologist,Healthcare,5,69173,4,Seattle,MedpaLM
David Levine,Technical Recruiter,Media & Marketing,2,124972,15,Chicago,Scribe AI
Daniel Bailey,Financial Analyst,Healthcare,3,81378,2,Chicago,ChatGPT
Henry Ball,Software Engineer,Tech,5,160183,14,Remote,Claude
Cody Nash,Radiologist,Healthcare,2,174406,28,Chicago,Claude
Melissa Bailey,Customer Support Agent,Healthcare,5,137664,31,Boston,None
Zachary Solis,Doctor,Healthcare,2,131665,19,Austin,MedpaLM
Tanya Jordan,Teacher,Education,2,74938,21,Austin,Google Gemini
Courtney French,Doctor,Healthcare,4,182604,15,Boston,MedpaLM
Douglas Oconnor,Lawyer,Legal,1,141266,2,Remote,Harvey
Mark Perry,Customer Support Agent,Healthcare,5,96617,1,Chicago,ChatGPT
William Hudson,Lawyer,Legal,4,103448,15,Boston,Claude
Lisa Curry,Nurse,Healthcare,4,176907,33,Seattle,Claude
Jeffrey Powell,Financial Analyst,Healthcare,2,130110,9,Boston,None
Crystal Mclaughlin,Radiologist,Healthcare,3,44430,32,San Francisco,Claude
Valerie Shea,Lawyer,Legal,1,121640,14,Boston,Claude
Kristina West MD,Marketing Manager,Media & Marketing,4,111171,12,Remote,Writer.com
Ariel Henderson,Marketing Manager,Media & Marketing,2,198107,7,San Francisco,Scribe AI
Andrea Price,Teacher,Education,3,150624,13,Austin,Google Gemini
Carla Davidson,Customer Support Agent,Healthcare,5,151733,11,Remote,Perplexity AI
Eric Schmitt,Marketing Manager,Media & Marketing,4,178120,13,San Francisco,Writer.com
Jason Davis,Lawyer,Legal,1,157248,30,Seattle,Claude
Timothy Wise,Customer Support Agent,Finance,4,197562,12,Seattle,Perplexity AI
Christine Villa,Radiologist,Healthcare,1,98470,22,Austin,Claude
Yvonne Taylor,Technical Recruiter,Healthcare,5,70653,20,Chicago,ChatGPT
Heather Sullivan,Marketing Manager,Media & Marketing,3,131290,31,Boston,ChatGPT
Crystal Wall,Lawyer,Legal,1,80546,9,New York,Harvey
Deborah Rose,Data Analyst,Finance,3,44369,3,Chicago,ChatGPT
Julie Joseph,Financial Analyst,Healthcare,4,195843,32,Seattle,None
Jennifer Rodriguez,Data Analyst,Media & Marketing,3,131891,23,Chicago,Claude
Charles Green,Software Engineer,Tech,4,76558,13,Seattle,ChatGPT
Mercedes Robles,Software Engineer,Tech,2,132707,2,San Francisco,Github Copilot
Angela Reese,Financial Analyst,Healthcare,2,70242,22,Remote,ChatGPT
Evan Haney,Teacher,Education,1,76911,15,Boston,Google Gemini
Sean Melton,Paralegal,Legal,2,131248,21,San Francisco,Claude
Maria Hartman,Software Engineer,Tech,3,40168,30,Chicago,ChatGPT
Jason Sullivan,Paralegal,Legal,2,125878,13,San Francisco,DoNotPay
Angela Smith,Lawyer,Legal,1,44214,10,New York,Claude
Julie Campbell,Nurse,Healthcare,3,118343,5,Austin,MedpaLM
Megan Smith,Radiologist,Healthcare,4,165726,10,San Francisco,Claude
Wendy Baird,HR Manager,Human Resources,3,80310,19,Austin,Scribe AI
Jeremiah Koch,Customer Support Agent,Healthcare,2,68405,27,Chicago,None
Gregory Griffin,Data Analyst,Tech,4,111578,13,Chicago,Github Copilot
Hannah Sanchez,Nurse,Healthcare,5,192093,14,San Francisco,Claude
Dr. Crystal Mcdonald MD,HR Manager,Human Resources,5,122598,29,Austin,Scribe AI
Tonya Shepherd,Nurse,Healthcare,2,110799,34,Remote,Claude
Justin Hayden,Financial Analyst,Finance,5,134796,16,Chicago,ChatGPT
Stacie Porter,Data Analyst,Healthcare,2,105561,5,Remote,Github Copilot
David Elliott,Doctor,Healthcare,3,137720,32,New York,MedpaLM
Kurt Lindsey,HR Manager,Human Resources,1,194411,8,Seattle,Writer.com
Anthony Cardenas,Lawyer,Legal,1,70648,17,Boston,Claude
Ms. Megan Macdonald,Nurse,Healthcare,5,83189,2,Boston,Claude
Jennifer Sexton,Nurse,Healthcare,2,191843,7,Seattle,Claude
James Nelson,Technical Recruiter,Finance,2,153589,31,Chicago,Scribe AI
Jeremy Wheeler,Lawyer,Legal,1,104273,4,Seattle,Harvey
Jennifer Beck,Data Analyst,Media & Marketing,1,186568,5,Chicago,Claude
James Levine,Technical Recruiter,Human Resources,5,112140,34,Austin,ChatGPT
Steven Davis,HR Manager,Human Resources,2,163324,15,Chicago,Writer.com
Mrs. Cassandra Hurley,Financial Analyst,Finance,3,123998,6,San Francisco,ChatGPT
Katelyn Everett,Copywriter,Media & Marketing,1,58209,13,Austin,ChatGPT
Erica Edwards,Lawyer,Legal,3,181780,12,Boston,Claude
Katherine Rios,Marketing Manager,Media & Marketing,2,56304,14,Austin,ChatGPT
Sean Luna,Data Analyst,Media & Marketing,4,175238,12,Chicago,Claude
Shari Saunders,HR Manager,Human Resources,1,195519,8,Chicago,Writer.com
Jessica Cohen,Financial Analyst,Finance,5,129327,27,Remote,Perplexity AI
Terry Lee,Financial Analyst,Finance,4,119301,12,Remote,None
Caitlin Hill,Customer Support Agent,Tech,1,91646,2,Boston,None
Melissa Bailey,Doctor,Healthcare,1,133529,8,Chicago,Claude
Cheryl Sims,Marketing Manager,Media & Marketing,5,80315,18,Remote,Writer.com
David Smith,Financial Analyst,Healthcare,4,125234,5,Remote,Perplexity AI
Brooke Goodman,Data Analyst,Healthcare,3,80875,15,Remote,Claude
Rachel Johnson,HR Manager,Human Resources,5,148639,24,Austin,ChatGPT
Andrew Espinoza,Nurse,Healthcare,2,61298,20,Remote,Claude
Jasmine Hernandez,Customer Support Agent,Tech,5,58450,35,Chicago,Perplexity AI
Holly Taylor,Software Engineer,Tech,1,72894,34,Seattle,ChatGPT
Jessica Cruz,Lawyer,Legal,5,100941,12,Remote,Harvey
Scott Anderson,Paralegal,Legal,1,126525,13,Austin,Claude
Keith Banks,Teacher,Education,2,120284,1,Austin,ChatGPT
James Collier Jr.,Teacher,Education,5,53540,7,Austin,Google Gemini
Thomas Wilkerson,Software Engineer,Tech,2,87713,9,Chicago,Github Copilot
Nathan Preston,Financial Analyst,Finance,5,100418,31,Austin,None
Sara Henry,Data Analyst,Tech,4,145672,34,Seattle,Github Copilot
Joshua Brown,Lawyer,Legal,3,97683,4,Austin,Harvey
James Walker,Teacher,Education,3,130036,21,Remote,Google Gemini
Rose Garcia,Paralegal,Legal,3,158453,24,San Francisco,Harvey
Kimberly Anderson,HR Manager,Human Resources,4,102071,18,Boston,ChatGPT
Micheal Snyder,Data Analyst,Healthcare,1,157269,8,Chicago,Github Copilot
Desiree Moore,Paralegal,Legal,1,188387,16,San Francisco,Harvey
Elizabeth Parks,Copywriter,Media & Marketing,4,45857,10,Austin,Writer.com
Jasmin Randall,Technical Recruiter,Finance,3,57422,24,Chicago,Scribe AI
Sandra Wood,Financial Analyst,Finance,1,159730,10,Remote,ChatGPT
Kelsey Harper,Radiologist,Healthcare,4,156989,7,San Francisco,MedpaLM
Brandy Beard,Doctor,Healthcare,3,122633,16,Austin,Claude
Sharon Lucas,Doctor,Healthcare,5,133662,11,Seattle,MedpaLM
Billy Johnson,Teacher,Education,2,154549,18,Chicago,Google Gemini
Cole Ramirez MD,Nurse,Healthcare,5,54704,31,New York,Claude
William Woods,HR Manager,Human Resources,3,109778,1,Chicago,Writer.com
Glenn Morris,Marketing Manager,Media & Marketing,4,161875,0,New York,Writer.com
Thomas Owens,Financial Analyst,Healthcare,3,109260,6,New York,ChatGPT
Mark Campbell,Technical Recruiter,Healthcare,3,69875,12,Seattle,Scribe AI
Anthony Page,HR Manager,Human Resources,4,70745,17,Boston,Scribe AI
Benjamin Skinner,Teacher,Education,1,138213,2,Boston,ChatGPT
William Clayton,Marketing Manager,Media & Marketing,2,108181,33,Remote,Writer.com
